,Name of Dish,Instruction
10,Baked Blueberry Cake Donuts,"
Preheat oven to 350 degrees. Spray donut pan with baking spray.

In large bowl or base of a stand mixer, beat together butter, sugar, and brown sugar until smooth, about 3 minutes. Then beat in eggs, one at a time.

Stir together flour, cornstarch, almond flour, baking powder, salt, and cinnamon in a small bowl. Gradually beat into butter mixture. Once well combined, beat in milk and beat until smooth. Finally, stir in frozen blueberries.

Fill prepared donut pan slots 2/3 of the way full.

Bake for 15 minutes, or until toothpick placed into center of one of the middle donuts comes out with just a few crumbs. Note: You may need to adjust cooking time depending on the size and depth of your donut pans.

In a small pot over medium-high heat, stir together blueberries and sugar. Continue stirring, smashing with the spoon as you stir, until blueberries are mostly liquid. Stain cooked mixture. You will end up with about 1/4 cup of blueberry juice.

In a shallow bowl, stir together powdered sugar and 2-3 tbsp of the blueberry juice, until desired consistency is reached.

Once donuts have cooled, remove from pans. Dip tops of each donut in glaze. Decorate with sprinkles if desired.
"
11,Fresh Herb and Vegetable Couscous Salad,"
In a medium sized sauce pan over high heat, bring water to a boil. Once boiling, stir in couscous, butter, and salt. Cover and remove from heat. Let sit for 10 minutes, then fluff couscous.

In a medium sized bowl, stir together couscous, basil, oregano, cucumber, and tomatoes.

Mix together balsamic vinegar, olive oil, salt, and pepper in a small bowl.

Pour balsamic mixture over couscous and stir well. Finally, stir in feta cheese.
"
12,Skillet Shepherd’s Pie,"
Heat large, 12-inch, cast iron skillet over medium-high heat. Add ground beef and season with 1/2 tsp of salt and 1/2 tsp pepper. Cook until browned, about 5 minutes. Remove from heat and drain excess fat.

Add olive oil to skillet. Then, add onion, celery and garlic. Saute until softened, about 7 minutes.

Next, add frozen vegetables to skillet and saute for 3-4 minutes.

Stir tomato paste into mixture in skillet until well combined.

Add rosemary, thyme, oregano, parsley, worcestershire sauce, and beef broth. Stir very well.

Sprinkle flour evenly over mixture while constantly stirring.

Reduce to simmer and let simmer for at least 10 minutes, stirring occasionally.

Wash potatoes, scrubbing well. Peel skins off and cut potatoes into about 1 inch sized chunks.

Fill a large pot with water and about 1 teaspoon salt. Bring to a boil. Add potatoes to water and boil until softened, about 20 minutes.

Drain potatoes. Place potatoes in large bowl and mash with the chicken broth, sour cream, salt, and pepper. Stir until very well combined.

Preheat oven to 400 degrees.

Remove skillet from stove and spread mashes potatoes evenly over topping.

Sprinkle paprika over potatoes, followed by cheddar and parmesan cheeses.

Bake for 25 minutes. Then, turn stove on broil and allow mashed potatoes to brown for about 2 minutes.
"
13,Muddy Buddy Cupcakes,"
Preheat oven to 350 degrees. Line cupcake pan with liners or spray with cooking spray.

In a large bowl or base of a stand mixer, stir together flour, cornstarch, baking soda, salt, and cocoa powder. Once combined, beat in sugar, egg, oil, vanilla, water, and buttermilk until well combined, about 2 minutes.

Fill cups 2/3 of the way full with batter. Bake for 16-18 minutes, or until toothpick inserted into one of the center cupcakes comes out with just a few crumbs. Let cool completely before frosting.

In a small, microwave safe bowl, mix together chocolate chips, peanut butter, and butter. Heat in microwave in 30 second increments, stirring well after each increment, until smooth.

Pour mixture over Chex cereal and stir until all of cereal is covered with mixture. Then, place mixture in a sealable bag or container with cover. Pour powdered sugar over cereal, cover container or seal bag, and shake until all of cereal is covered. 

Use a cupcake corer or spoon to remove center of cupcakes. Fill hole with filling mixture.

Beat together butter, shortening and peanut butter until light and creamy, about 3 minutes.  Then mix in salt until well combined.

Next beat in powdered sugar about 1/2 cup at a time, stirring down sides as needed.

Add milk 1 tbsp at a time until desired consistency reached.

Use a pastry bag and tip to decorate top of cupcakes with frosting (I used a Wilton 2D tip).

Dust tops of cupcake with powdered sugar (I use a sifter for this).

In a microwave safe bowl, heat chocolate and oil in microwave in 30 second increments. Stir well after each increment until smooth. Use a spoon or squeeze bottle to drizzle over tops of cupcakes.
"
14,Instant Pot Yogurt,"
Pour 50 ounces of the milk into instant pot bowl. Then, stir in sweetened condensed milk.

Place remaining 2 ounces of milk into a small bowl, and whisk in plain greek yogurt until well combined. Once combined whisk into milk mixture in pot.

Turn Instant Pot to yogurt setting, which should set to 8 hours, and cover with lid. 

When finished cooking, transfer to a glass or plastic container with lid. Store in refrigerator. NOTE: You may save 2 tbsp of this yogurt to use as the starter in next batch.
"
15,Ground Turkey Pot Stickers,"
Heat 1 tbsp oil in large skillet over medium-high heat. Add ginger and garlic. Cook for about 30 seconds.

Add onion and shredded carrots. Cook until vegetables start to soften, about 3 minutes.

Add roasted ground turkey, red peppers, Chinese 5 spice, red pepper flakes, salt, and soy sauce. Stir constantly until turkey is cooked through, about 4-5 minutes.

Transfer ingredients to a large blender. Pulse several times, until ingredients are well mixed, and some clumps remain.

Cut egg roll wrappers into 4 squares. Place about 1 tbsp of turkey mixture into center of wrapper.

Use water to wet outside of wrapper and press edges together so that it makes a triangle shaped pot sticker. Place each triangle in a single layer on a baking sheet.

Heat another tbsp of oil over medium-high heat in large skillet. Place potstickers in skillet and cook for about 1 minute per side, or until lightly browned. Remove and place aside. Add more potstickers, and oil as needed, until all are cooked.

Serve with soy sauce or teriyaki sauce. I prefer teriyaki sauce. 
"
16,Quinoa Turkey Enchilada Stuffed Peppers,"
Preheat oven to 375 degrees.

Cook quinoa according to package directions and set aside.

In a large pot over medium-high heat, heat olive oil.

Add garlic and saute for about 30 seconds.

Add onion, corn, and jalapeno. Cook, stirring frequently, until onion is soft.

Add turkey, cumin, and 2 teaspoons of chili powder. Cook, stirring frequently, until turkey is cooked through.

Add black beans, enchilada sauce, diced tomatoes, lime juice, and cilantro. Mix well. Simmer, uncovered and stirring occasionally, for 15 minutes.

Stir cooked quinoa and 2 additional teaspoons of chili powder into turkey mixture. Remove from heat.

Cut peppers in half vertically. Use a pairing knife to carefully remove stem and core.

Place peppers, skin side down, in a large 9x13 baking dish (you will like need two 9x13 dishes).

Divide turkey quinoa mixture among peppers. Pour 1/2 cup water into bottom of each baking dish and cover dish(es) with aluminum foil.

Bake for 40-45 minutes, or until peppers are softened. Remove foil and top with cheese. Return to oven and bake for another 3-5 minutes, or until cheese is melted and bubbly.
"
17,Emily’s Baked Ziti,"
In a large pot on stove over medium heat, stir together tomato sauce, tomato paste, diced tomatoes, garlic powder, salt, pepper, oregano, and sugar.

Bring to a simmer, reduce heat to low, cover, and allow to simmer for at least 30 minutes.

In a large skillet, brown beef with salt and pepper to taste. Once cooked through, remove from heat and drain fat.

Add beef to sauce and allow to simmer for another 20-30 minutes.

Cook ziti according to package instructions.

Preheat oven to 350 degrees.

Remove 2 cups of beef sauce from pot and set aside.

In pot with sauce, stir in ziti, 6 ounces of mozzarella cheese and 6 ounces of Italian cheese.

Place mixture in 9x13 baking dish.

Use remaining sauce to cover top of mixture and top with remaining cheeses.

Cover with aluminum foil and bake for 30 minutes. Remove foil and bake for an additional 5 minutes.
"
18,Chocolate Covered Cherry Cake,"
Preheat over to 350 degrees. Line 3, 8"" pans with parchment paper. Flour & butter sides of pans (I use baking Pam to do this).

Whisk together first six ingredients in mixing bowl. Then add following 7 ingredients and beat on medium speed until all ingredients well combined, about 2 minutes. The batter is thin.

Divide batter evenly among the three prepared pans.

Bake until toothpick comes out of center of cake with just a few crumbs, about 25 minutes.

Chop cherries very finely with a knife or pulsing in a food processor a few times.

In a small sauce pan over medium low heat, add cherries, sugar and water. Stir constantly until sugar is dissolved and mixture begins to bubble. Remove from heat and set aside.

Place cherry mixture and chocolate in a heat safe bowl.

Put heave whipping cream in a microwave safe bowl and heat until boiling, about 60 seconds.

Pour whipping cream over chocolate mixture and cover with plastic wrap. Let sit for 5 minutes.

Remove plastic wrap and whisk until chocolate is completely melted. Let sit for at least 5 minutes before using to assemble cake.

In a large bowl or stand mixer, beat together butter and shortening until light in color.

Add in salt and vanilla and mix until well combined.

Alternate mixing in cherries powdered sugar, scraping down sides as needed, until well combined. Once combined, turn mixer on high for about 30-60 seconds.

Level cakes. Use frosting to piper a border on outside of two cake layers. Fill inside of each border with half of cherry ganache.

Stack the two filled cake layers, and finish with the unfrosted layer (I always put the top layer on upside down so that the top of the cake will be smooth).

Use the cherry buttercream to frost outside of the cake. Save about 2/3 cup for decorating top of cake.

To make ganache, place chocolate chips and corn syrup in a heat safe bowl. Put heavy cream in a microwave safe dish and heat until boiling, about 60 seconds.

Pour cream over chocolate chips. Cover with plastic wrap and let sit for 5 minutes.

Remove plastic and whisk until smooth.

Dip about 8 cherries into ganache and set on parchment paper.

Pour remaining ganache into squeeze bottle and use to drop down sides of cake. Fill top of cake with remaining ganache and smooth with offset spatula.

Use pasty bag to pipe cherry buttercream into 8 circles on top of cake. Top each buttercream circle with a chocolate covered cherry.
"
19,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top),"
In Instant Pot on saute mode, or in large pot on stove over medium high heat, stir together apple cider vinegar, sherry, soy sauce, honey, and wasabi. Let mixture come to a boil, stirring frequently.

Boil for 1 minute, the remove from heat. Set sauce aside.

Wipe down or wash out pot for next steps.

Salt and pepper to taste.

Heat 1 tbsp oil in Instant Pot on saute mode, or in large pot on stove over medium high heat.

Add chicken and cooked until mostly cooked, about 4 minutes.

Add 1/2 cup of prepared wasabi teriyaki sauce. Let chicken simmer in sauce until cooked through.

Remove chicken and sauce from pot and set aside.

Add an additional tbsp of oil. Once shimmering, add garlic and ginger. Cook for about 30 seconds.

Add red pepper, carrots, and boy choy. Saute until vegetables are softened, about 3 minutes.

Stir in chicken with it's juices, remainder of wasabi teriyaki sauce, and rice.

If cooking in Instant Pot, stir in 1 cup of water. If cooking on stove top, stir in two cups of water. Make sure that all ingredients are well combined.

If cooking in Instant Pot, cover, turn manual mode with high pressure for 5 minutes. Once cooking has finished, let natural release for 10 minutes.

If cooking on stove top, bring liquid to a boil. Once boiling, turn heat to low and cover pot. Simmer liquid is absorbed by rice, about 10-12 minutes.
"
20,Instant Pot Roasted Balsamic Chicken,"
In a bowl with lid or in a sealable bag, mix together balsamic vinegar, 1/4 cup olive oil, salt, and pepper. Once mixed, add chicken. Cover bowl or seal bag and shake to ensure that all chicken is coated with marinade. Place in refrigerator for at least 2 hours.

When ready to cook, remove chicken from marinade. Mix together herbs de Provence and salt. Coat skin side of chicken with the spice mixture.

Heat 1 tbsp olive oil in Instant Pot on saute mode. Add 4 pieces of chicken, skin side down, and cook for 5 minutes. Remove from pot and add the other 4 pieces of chicken skin side down. Again, cook for 5 minutes and then remove chicken from pot.

Add white cooking wine to pot to deglaze bottom of the pot. Once the pot has been deglazed, add chicken broth.

Place Instant Pot steaming rack in pot. Stack chicken on rack, placing the legs and thighs on the bottom, and the breasts and wings on top.

Seal pot and cook on high pressure for 10 minutes. Let natural release for 10 minutes. Remove chicken from pot and serve warm.
"
21,Andouille Sausage Chicken and Rice,"
In a small bowl mix together chili powder, lemon herb seasoning, garlic powder, salt, and pepper. Add chicken and stir until chicken is thoroughly coated.

Heat olive oil in a large pot over medium-high heat. Add chicken and cook until pieces are almost cooked through, about 5 minutes.

Remove chicken from pot and set aside.

Heat another tbsp of olive oil in the same pot. Then, add onion, garlic, green pepper, and yellow pepper. Saute for about 3 minutes.

Add andouille sausage and saute for another 3 minutes.

Then, add rice, saffron, cumin, oregano, paprika, chicken broth, and salsa. Stir until well mixed.

Add chicken with it's juices and stir again until well combined.

Cover pot and reduce heat to low. Simmer for 30 minutes (or until liquid is absorbed), stirring halfway through cooking time.
"
22,Thai Curry Soup with Turkey Meatballs,"
Preheat oven to 425 degrees. Line baking pan with parchment paper or baking mat.

Beat egg in large bowl. Thoroughly mix next 10 ingredients into egg. 

Roll mixture into 1.5 inch balls (will make about 28 balls).

Place balls on prepared baking sheet. Bake for about 18 minutes, or until balls are cooked through. Flip balls halfway through baking.

While meatballs are baking, bring salted water to boil in a large pot. Add snap peas and boil for 2 minutes. Add red pepper and boil for an additional two minutes.

Remove veggies from salted water with slotted spoon.

Remove pan with water from heat and use to cook rice noodles according to package directions.

To make broth, heat vegetable oil in a large pot over medium high heat. Add garlic and ginger powder and stir until fragrant, about 1 minute. Then add following 6 ingredients. Whisk together well. Simmer for 10 minutes.

To serve, place noodles in bowl. Pour curry broth over noodles. Top with veggies and meatballs. May also top with peanuts, cilantro, and lime juice if desired.
"
23,Honey Lime Vinaigrette,"
In a large food processor or blender, add lime zest, lime juice, lemon juice, honey, tahini, rice wine vinegar, salt, and pepper. Blend until creamy.

Stream in olive oil and vegetable oil until just combined.

Pulse in green onions.

Serve over salad or also works well for serving over chicken.
"
24,Fresh Herb Mac and Cheese,"
Preheat oven to 350 degrees. Lightly grease a 9x13 or 3.5 quart baking dish.

Cook pasta shells per package instructions until al dente. Set aside.

Steam broccoli and chop crowns into bite size pieces. Set aside. To do this quickly, I put a few tablespoons of a water in a microwave safe bowl, place the broccoli in the water, and then cover the bowl with a microwave safe plate. I heat it on high for about 2 minutes, then drain the broccoli.

Remove sausage from casings and crumble. Heat olive oil in small pan over medium heat. Add crumbled chicken sausage and cook until slightly browned. Remove and set aside.

In a large sauce pan over medium heat, melt 4 tbsp butter and add onion, seasoning salt, pepper, nutmeg and chili powder, stir together well.

Sprinkle flour over ingredients and saute for 1-2 minutes.

Whisk milk into mixture and bring to a boil. Turn down to low and allow to simmer for 5 minutes, until slightly thickened, whisking frequently.

Stir in cheese and worcestershire sauce. Once well combined, stir in pasta, chicken and broccoli.

Place mixture in prepared baking dish.

Melt 2 tbsp butter and mix well with panko, sage, thyme and rosemary. Spread evenly over mac and cheese.

Bake for 30 minutes.
"
25,Chicken Lime Tacos (Instant Pot or Slow Cooker),"
Mix first 13 ingredients together to make a spice/broth mixture.

Place chicken in slow cooker or Instant Pot and cover with spice/broth mixture.

Cook in slow cooker on low for 7-8 hours, or high for 4-5 hours. Or cook in Instant Pot on high pressure for 13 minutes, and let natural release for 10 minutes.

Remove chicken and shred.

Serve on tortillas with desired toppings.
"
26,Nutella Mousse Cake,"
Preheat oven to 350 degrees. Line 8"" round pan with parchment paper, and butter/flour sides. I use Baking Pam for this.

In heat proof bowl, pour coffee over cocoa and chopped chocolate. Let sit for 2-3 minutes, then whisk together. Set aside.

In mixing bowl, whisk together flour, baking soda, and salt. Once mixed, add in chocolate/coffee mixture, oil, sugar, vanilla, buttermilk, and eggs. Beat until well combined.

Pour into prepared baking pan.

Bake for 16-18 minutes, or until toothpick in center comes out with just a few crumbs. Let cook in pan for 5 minutes, then remove to rack to finish cooling.

Using a mixer, beat cream cheese, Nutella, powdered sugar, vanilla and salt on medium-high for about 5 minutes, or until mixture is light and smooth.

Set bowl aside. In another bowl, using whisk attachment, beat heavy cream until peaks just begin to form, about 4 minutes. Fold cream into Nutella mixture until well incorporated.

Next, put plastic over inside and sides of baking pan that you used for the cake. Then, fold a large piece of wax paper into thirds so that you have a long, thick piece. Place wax paper into pan so that it makes a tall side all around the pan.

Put the cake into the bottom of the pan. Spread Nutella mousse evenly over the cake. Put pan in freezer for at least 2 hours.

In large bowl or stand mixer with whisk attachment, beat eggs for about 4 minutes, or until light colored and thickened. Then, beat in sugar.

Heat 1 cup of heavy cream in a medium sized sauce pot over medium heat. Once cream is hot, slowly pour a little over half of the cream into the egg yolk mixture, stirring continuously (it is important to do it slowly, and stir, so that you do not cook the eggs). Then, pour the mixture back into the remaining heavy cream in the pot, still stirring continuously.

Turn heat under pot to low, and stir continuously until mixture begins to thicken, about 5 minutes. After mixture has thickened, remove from heat and whisk in chocolate chips and Nutella until smooth.

Place the egg mixture in a bowl in the refrigerator for at least two hours.

After mixture has chilled, beat remaining 1 cup of whipping cream with whisk attachment until stiff peaks form, about 5 minutes.

Fold whipped cream into chocolate/egg mixture until well combined.

Remove cake with Nutella cream cheese mousse from freezer. Spread Nutella chocolate mousse evenly over Nutella mousse and return to freezer for at least 2 hours.

After chocolate mouse is firm in freezer, make ganache. To do this, place chocolate in a heat proof bowl. In another heat safe bowl, heat heavy cream until boiling (I use a glass measuring cup in the microwave for about 30 seconds). Pour cream over chocolate and cover bowl with plastic wrap. Let sit for 5 minutes, then whisk until smooth.

Once smooth, spread ganache over top of cake, letting it run down the sides.
"
27,Barbacoa Beef (Instant Pot or Slow Cooker),"
Salt and pepper all sides of chuck roast to taste. Turn Instant Pot on saute and heat olive oil. Lightly brown beef on all sides, about 1 minute per side. Remove and set aside.

Add onion and saute until softened, about 4-5 minutes.Stir in rest of ingredients.

Add beef back into mixture

Cook on high for 60 minutes and let natural release for 15 minutes.

Remove beef from pot and shred beef with two forks.

Use immersion blender, or put sauce into blender, and blend until smooth.

Mix sauce and shredded beef together.

Serve over cilantro lime rice or in tacos.

Salt and pepper all sides of chuck roast to taste. Heat olive oil in large sauce pan over medium heat. Lightly brown beef on all sides, about 1 minute per side. Remove and set aside.

Add onion and saute until softened, about 4-5 minutes. Stir in rest of ingredients.

Transfer sauce and beef to slow cooker. Cook on high for 5-6 hours, or low 8-9 hours.

Remove beef from slow cooker and shred beef with two forks.

Use immersion blender, or put sauce into blender, and blend until smooth.

Mix sauce and shredded beef together.

Serve over cilantro lime rice or in tacos.
"
28,Instant Pot Key Lime Pie,"
Spray bottom of 7"" springform pan with baking spray.

In a small bowl, stir together graham cracker crumbs, brown sugar, and butter. Press into bottom of pan and about 1/3 up the side of the pan.

Using an electric mixer, beat together egg yolks and sugar until thickened, about 3 minutes.

Beat in key lime juice, lime zest, condensed milk and sour cream until smooth. Pour mixture into pie crust.

Put 1 1/2 cups water into the bottom of Instant Pot inner pot. Place filled springform pan on steamer rack, and place in Instant Pot.

Cook on high pressure for 17 minutes. Let natural release for 10 minutes. Carefully remove steamer rack with pie. Place springform pan in refrigerator for at least 4 hours. Once completely cool, remove from pan.

Place metal bowl in freezer for 10 minutes. Remove bowl from freezer and place whipping cream, sugar, and key lime juice in bowl. Use electric mixer to beat on medium-high speed until thickened, about 3 minutes.

Serve pie with whipped topping and fresh lime zest, if desired.
"
29,Blueberry Zucchini Muffins,"
Preheat oven to 350 degrees. Spray mini muffin tin with baking spray.

In a large bowl, stir together flours, baking soda, salt, zucchini, and sugar.

Add eggs, milk, vegetable oil, and blueberries. Stir until well combined.

Fill each of the prepared muffin tin slots with batter about 2/3 of the way full .

In a small bowl, stir together all of the topping ingredients. Use your hands to squeeze together mix until it resembles coarse crumbs.

Top each muffin with topping.

Bake for 13-15 minutes, or until tops are golden brown.
"
