,Name of Dish,Instruction
10,Fresh Broccoli Salad,"Place bacon in a deep skillet and cook over medium high heat until evenly brown. Cool and crumble.
                            Cut the broccoli into bite-size pieces and cut the onion into thin bite-size slices. Combine with the bacon, raisins,  your favorite nuts and mix well.
                            To prepare the dressing, mix the mayonnaise, sugar and vinegar together until smooth. Stir into the salad, let chill and serve.
                            "
11,Pecan Sour Cream Coffee Cake,"Preheat oven to 350 degrees F (175 degrees C). Butter an 8-inch by 10-inch baking dish.
                            Mix pecans, 1/3 cup white sugar, brown sugar, cinnamon, salt, and melted butter thoroughly in a mixing bowl until all components are coated with butter, 3 to 4 minutes.
                            In a separate bowl, whisk together flour, salt, baking powder, and baking soda.
                            In another bowl, mix together butter and 1 cup sugar with a spatula until well blended. Add 1 egg and whisk until mixture is smooth, 2 to 3 minutes. Whisk in second egg until thoroughly incorporated. Add vanilla and sour cream; whisk together. Add flour mixture to wet ingredients; whisk until flour disappears (do not over mix).
                            Spread one half of the batter evenly into the bottom of the prepared baking dish. Scatter one half of the crumb mixture evenly over the top of the batter. Top with the rest of the batter and spread carefully to evenly distribute, trying not to disturb the crumbs. Top with the rest of the crumb mixture. Very gently press crumbs into batter. Bake in preheated oven until a bamboo skewer comes out clean, 30 to 35 minutes. Let cool slightly before serving.
                            "
12,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),"Combine garlic, tapioca flour, fish sauce, soy sauce, sugar, and white pepper in a bowl; add prawns and toss to coat.
                            Heat 2 tablespoons oil in a heavy skillet over high heat. Add 1/2 of the prawns in single layer; fry until golden brown and crispy, 1 to 2 minutes per side. Repeat with remaining oil and remaining prawns.
                            "
13,Downeast Maine Pumpkin Bread,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 7x3 inch loaf pans.
                            In a large bowl, mix together pumpkin puree, eggs, oil, water and sugar until well blended. In a separate bowl, whisk together the flour, baking soda, salt, cinnamon, nutmeg, cloves and ginger. Stir the dry ingredients into the pumpkin mixture until just blended. Pour into the prepared pans.
                            Bake for about 50 minutes in the preheated oven. Loaves are done when toothpick inserted in center comes out clean.
                            "
14,Roasted Beets and Sauteed Beet Greens,"Preheat the oven to 350 degrees (175 degrees C). Wash the beets thoroughly, leaving the skins on, and remove the greens. Rinse greens, removing any large stems, and set aside. Place the beets in a small baking dish or roasting pan, and toss with 2 tablespoons of olive oil. If you wish to peel the beets, it is easier to do so once they have been roasted.
                            Cover, and bake for 45 to 60 minutes, or until a knife can slide easily through the largest beet.
                            When the roasted beets are almost done, heat the remaining 2 tablespoons olive oil in a skillet over medium-low heat. Add the garlic and onion, and cook for a minute. Tear the beet greens into 2 to 3 inch pieces, and add them to the skillet. Cook and stir until greens are wilted and tender. Season with salt and pepper. Serve the greens as is, and the roasted beets sliced with either red-wine vinegar, or butter and salt and pepper.
                            "
15,"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil.
                            Spread Brussels sprouts, cauliflower, apples, and onion onto the prepared baking sheet; drizzle with olive oil. Season with salt and black pepper; stir until evenly coated.
                            Bake in the preheated oven until Brussels sprouts and cauliflower are tender, 20 to 25 minutes.
                            Transfer Brussels sprouts mixture to a serving bowl. Fold in raisins and walnuts; drizzle with wine. Toss to coat.
                            "
16,Low Carb Cauliflower Leek Soup,"Heat the olive oil and butter in a large pot over medium heat, and saute the leeks, cauliflower, and garlic for about 10 minutes. Stir in the vegetable broth, and bring the mixture to a boil. Reduce heat, cover, and simmer 45 minutes.
                            Remove the soup from heat. Blend the soup with an immersion blender or hand mixer. Season with salt and pepper. Mix in the heavy cream, and continue blending until smooth.
                            "
17,Bacon Cheese Muffins,"Cook bacon in a large skillet over medium-high heat until crisp, about 10 minutes. Drain the bacon slices on paper towels and crumble once cooled.
                            Preheat oven to 400 degrees F (200 degrees C). Coat 24 muffin cups with cooking spray.
                            Mix flour, Cheddar cheese, baking powder, garlic salt, and black pepper together in a large bowl.
                            Beat eggs, milk, and vegetable oil together in a small bowl; stir into flour mixture just until moistened. Gently fold bacon through the batter. Spoon batter into prepared muffin cups.
                            Bake in the preheated oven until a toothpick inserted into the center comes out clean, 15 to 20 minutes. Serve warm.
                            "
18,Bacon and Potato Frittata with Greens,"Set oven rack about 6 inches from the heat source and preheat the oven's broiler.
                            Cook and stir bacon in a large oven-proof skillet over medium heat until evenly browned and crispy, about 10 minutes. Drain all but 1 teaspoon bacon grease from the skillet.
                            Stir potato slices, water, garlic, red pepper flakes, salt, and black pepper into bacon; cover the skillet with a lid and cook until potatoes are tender, about 10 minutes.
                            Mix Swiss chard into potato mixture; cook and stir until chard is slightly wilted, 2 to 3 minutes.
                            Pour eggs over potato-chard mixture, stir gently, and remove skillet from heat. Top egg mixture with Parmesan cheese.
                            Broil in the preheated oven until eggs are set and frittata is golden brown around the edges, 3 to 4 minutes.
                            "
19,Cabbage Fat-Burning Soup,"Place carrots, onions, tomatoes, cabbage, green beans, peppers, and celery in a large pot. Add onion soup mix, tomato juice, beef broth, and enough water to cover vegetables. Simmer until vegetables are tender. May be stored in the refrigerator for several days.
                            "
20,Chicken Tikka Masala,"In a large bowl, combine yogurt, lemon juice, 2 teaspoons cumin, cinnamon, cayenne, black pepper, ginger, and salt. Stir in chicken, cover, and refrigerate for 1 hour.
                            Preheat a grill for high heat.
                            Lightly oil the grill grate. Thread chicken onto skewers, and discard marinade. Grill until juices run clear, about 5 minutes on each side.
                            Melt butter in a large heavy skillet over medium heat. Saute garlic and jalapeno for 1 minute. Season with 2 teaspoons cumin, paprika, and 3 teaspoons salt. Stir in tomato sauce and cream. Simmer on low heat until sauce thickens, about 20 minutes. Add grilled chicken, and simmer for 10 minutes. Transfer to a serving platter, and garnish with fresh cilantro.
                            "
21,Cream Cheese Pound Cake I,"Preheat oven to 325 degrees F (165 degrees C). Grease one 10 inch tube pan.
                            Cream together the butter, cream cheese, and sugar until light. Stir in the vanilla and the almond extracts.  Add the flour and the eggs alternately, beginning and ending with the flour. Pour batter into the prepared pan.
                            Bake at 325 degrees F (165 degrees C) for 1 hour and 15 minutes or until a toothpick inserted in the center comes out clean.
                            "
22,Green Risotto with Fava Beans,"Bring a large pot of salted water to a boil.  Meanwhile, shell the favas and discard the pods.  Boil the favas for 4 minutes, strain and then immediately plunge into ice water.  Let cool for 2 minutes then pierce  the favas and squeeze them out of their skins.  Separate 3/4 of the favas and puree in a food processor.
                            In a separate large saucepan bring the broth to a simmer, and keep it hot.  Meanwhile, in another large saucepan over medium heat, melt 1.5 tablespoons of the butter and add the onions.  Reduce the heat to low and cook for about 5 minutes; do not brown the onions.  Add the rice and cook, while stirring, for 2 minutes.  Add the wine, increase the heat to medium, and stir constantly.  When the wine has been absorbed, add a little of the hot stock.  Once the stock is absorbed, add a little more; repeat this process, stirring constantly, until the rice is cooked through.
                            To the cooked rice add the pureed favas, the remaining 1.5 tablespoons of butter, the rest of the favas and the cheese.  Cook over medium heat, stirring, until the butter and cheese melt and the puree is incorporated evenly.  Season with salt.
                            "
23,Green Tomato Pie III,"Preheat oven to 350 degrees F (175 degrees C).
                            Place diced green tomatoes and vinegar in a large bowl.
                            In a medium bowl, mix together sugar, cinnamon, cloves, nutmeg, salt and flour. Sprinkle over tomatoes and toss to coat evenly.
                            Pour into pie crust and cover with criss-cross lattice crust.
                            Bake at 350 degrees F (175 degrees C) for 30 to 35 minutes, until bubbly and crust is brown.
                            "
24,Rich and Simple French Onion Soup,"Melt butter with olive oil in an 8 quart stock pot on medium heat. Add onions and continually stir until tender and translucent. Do not brown the onions.
                                    Watch Now
Add beef broth, sherry and thyme. Season with salt and pepper, and simmer for 30 minutes.
                                    Watch Now
Heat the oven broiler.
                                    Watch Now
Ladle soup into oven safe serving bowls and place one slice of bread on top of each (bread may be broken into pieces if you prefer). Layer each slice of bread with a slice of provolone, 1/2 slice diced Swiss and 1 tablespoon Parmesan cheese. Place bowls on cookie sheet and broil in the preheated oven until cheese bubbles and  browns slightly.
                                    Watch Now
"
25,Quick Creamy Zucchini Soup,"Stir zucchini, water, salt, and basil together in a pot; bring to a boil, reduce heat to medium-low, and simmer until zucchini is tender, about 15 minutes.
                            Pour zucchini mixture into a blender no more than half full. Cover and hold lid down; pulse a few times before leaving on to blend until smooth. Puree in batches.
                            Whisk warm milk, flour, and salt together in a bowl until smooth.
                            Melt butter in a skillet over medium heat. Cook and stir onion in melted butter until translucent, 5 to 7 minutes. Pour pureed zucchini and milk mixture into the skillet; bring to a boil while stirring continually. Season with pepper.
                            "
26,Country House Bed and Breakfast Casserole,"Melt butter in an 8x8 inch glass baking dish or small casserole dish. Add croutons and toss to coat. Sprinkle cheese on top of croutons. In a large bowl, beat together eggs, milk and dry mustard. Pour egg mixture over croutons and cheese. Sprinkle on cubed ham. Cover with plastic wrap, and refrigerate overnight.
                            Preheat oven to 375 degrees F (190 degrees C). Let casserole stand at room temperature while oven heats.
                            Bake in preheated oven for 40 minutes, until eggs are set. Let sit for 5 minutes before cutting.  Can also be frozen and microwaved later.
                            "
27,Fiesta Slow Cooker Shredded Chicken Tacos,"Combine chicken broth and taco seasoning mix in a bowl. Place chicken in a slow cooker and pour chicken broth mixture over chicken.
                            Cook on Low for 6 to 8 hours. Shred chicken.
                            "
28,Yummy Sweet Potato Casserole,"Preheat oven to 325 degrees F (165 degrees C). Put sweet potatoes in a medium saucepan  with water to cover. Cook over medium high heat until tender; drain and mash.
                            In a large bowl, mix together the sweet potatoes, white sugar, eggs, salt, butter, milk and vanilla extract. Mix until smooth. Transfer to a 9x13 inch baking dish.
                            In medium bowl, mix the brown sugar and flour. Cut in the butter until the mixture is coarse. Stir in the pecans. Sprinkle the mixture over the sweet potato mixture.
                            Bake in the preheated oven 30 minutes, or until the topping is lightly brown.
                            "
29,Creamy Asparagus and Cauliflower Soup,"Heat olive oil in a large pot over medium heat. Cook and stir garlic in hot oil until fragrant, about 1 minute. Stir chicken broth, cauliflower, cayenne pepper, salt, and black pepper into garlic. Bring to a simmer, reduce heat to medium-low, and cook until cauliflower is tender, about 15 minutes.
                            Stir 2 pounds asparagus into cauliflower mixture and increase heat to high. Cook until asparagus is tender but still bright green, 5 to 6 minutes.
                            Blend soup with an immersion blender until smooth; season with salt and black pepper. Ladle soup into bowls and garnish with flower petals and diced asparagus tips.
                            "
30,Southwestern Cauliflower and Ham Soup,"In a large pot over medium heat, cook onion in oil until just beginning to brown.  Pour in broth and bring to a boil.  Stir in cauliflower, bring to a boil again and cook until cauliflower is tender, 2 to 5 minutes.
                            Remove half of cauliflower mixture and puree in a blender or food processor until smooth.  Return to pot with ham and cheese and cook until cheese is melted.  Stir in potato flakes and heat through.  Serve topped with cilantro.
                            "
31,Sopapilla Cheesecake Pie,"Preheat an oven to 350 degrees F (175 degrees C). Prepare a 9x13 inch baking dish with cooking spray.
                            Beat the cream cheese with 1 cup of sugar and the vanilla extract in a bowl until smooth.
                            Unroll the cans of crescent roll dough, and use a rolling pin to shape each piece into 9x13 inch rectangles. Press one piece into the bottom of a 9x13 inch baking dish. Evenly spread the cream cheese mixture into the baking dish, then cover with the remaining piece of crescent dough. Stir together 3/4 cup of sugar, cinnamon, and butter. Dot the mixture over the top of the cheesecake.
                            Bake in the preheated oven until the crescent dough has puffed and turned golden brown, about 30 minutes. Remove from the oven and drizzle with honey. Cool completely in the pan before cutting into 12 squares.
                            "
32,"Bacon, Egg, and Cheese Breakfast Bombs","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, 5 to 8 minutes. Drain bacon slices on paper towels.
                            Preheat oven to 400 degrees F (200 degrees C). Grease a 9-inch pie plate.
                            Melt 1 tablespoon butter in a nonstick skillet over medium-low heat. Pour in eggs; cook, stirring often with a spatula, until soft and fluffy, 3 to 5 minutes. Transfer to a plate to cool. Season with salt and pepper.
                            Remove cinnamon rolls from the packaging. Stand each roll on its side and press down into a rectangle, trapping the cinnamon sugar layers. Roll each rectangle into a thin 6-inch circle.
                            Spread 1 tablespoon cream cheese over each circle of dough. Layer 1/4 cup scrambled egg, 1/4 cup Cheddar cheese, and 1 tablespoon bacon pieces on top. Bring dough up and over the filling, pinching edges together to enclose filling completely.
                            Place rolls seam-side down in the prepared pie plate.
                            Heat remaining 1 tablespoon butter in a small microwave-safe bowl until melted, about 10 seconds. Brush over rolls. Season with salt and pepper.
                            Bake in the preheated oven, rotating halfway, until rolls are a deep golden brown, 20 to 22 minutes. Transfer pie plate to a wire rack; let rolls cool for 15 minutes before serving.
                            "
33,Chicken Tortellini Soup With Zucchini and Tomatoes,"Prepare Fast Chicken Soup Base. Bring to a simmer.
                            Add these, then simmer until tender, 10-20 minutes: 1 9-ounce package refrigerated small cheese tortellini; 1 14.5-ounce can diced tomatoes; 2 medium zucchini, diced; 1 tsp. dried basil.
                            Before removing from heat, stir in: 1/2 cup chopped fresh parsley.
                            Final touch: Add salt and pepper, to taste.
                            "
34,Delicious Egg Salad for Sandwiches,"Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.
                                    Watch Now
Place the chopped eggs in a bowl, and stir in the mayonnaise, mustard and green onion. Season with salt, pepper and paprika. Stir and serve on your favorite bread or crackers.
                                    Watch Now
"
35,Baked Cider Doughnuts,"Preheat oven to 325 degrees F (165 degrees C). Lightly grease the doughnut pan with cooking spray.
                            In a large bowl, stir together the all-purpose flour, whole wheat flour, powdered milk, baking powder, salt, cinnamon, and nutmeg. Make a well in the center and pour in the eggs, honey, apple juice concentrate and vanilla. Mix until well blended. Fill each depression in the prepared doughnut pan 2/3 full with batter.
                            Bake for 8 to 10 minutes in the preheated oven, or until the tops spring back when lightly touched. Allow doughnuts to cool before removing from pan.
                            "
36,Hungarian Mushroom Soup,"Melt the butter in a large pot over medium heat. Saute the onions in the butter for 5 minutes. Add the mushrooms and saute for 5 more minutes. Stir in the dill, paprika, soy sauce and broth. Reduce heat to low, cover, and simmer for 15 minutes.
                            In a separate small bowl, whisk the milk and flour together. Pour this into the soup and stir well to blend. Cover and simmer for 15 more minutes, stirring occasionally.
                            Finally, stir in the salt, ground black pepper, lemon juice, parsley and sour cream. Mix together and allow to heat through over low heat, about 3 to 5 minutes. Do not boil. Serve immediately.
                            "
37,Thai Red Chicken Curry,"Heat the oil in a large skillet over medium-high heat. Add the chicken pieces; cook and stir for about 3 minutes. Mix in the curry paste, zucchini, bell pepper, carrot and onion. Cook and stir for a few minutes.
                                    Watch Now
Dissolve the cornstarch in the coconut milk, then pour into the skillet. Bring to a boil, then simmer over medium heat for 1 minutes. Right before serving, stir in the cilantro.
                                    Watch Now
"
38,Smooth Cauliflower Soup,"In a large pot over medium heat, melt butter.  Cook garlic in butter 30 seconds, then stir in nutmeg, pepper and salt and cook 30 seconds more.  Pour in the water and introduce the cauliflower.  Bring to a boil, then reduce heat, cover and simmer 20 minutes, until cauliflower is tender.
                            In a small saucepan over medium heat, cook carrot with water to cover until just tender.  Drain and reserve.
                            Puree cauliflower soup in a blender or food processor or with an immersion blender.  Stir in reserved carrots, green onion and parsley.  Serve.
                            "
39,Caldo de Res (Mexican Beef Soup),"Cut the meat from the beef bones into about 1/2 inch pieces, leaving some on the bones.
                            Heat a heavy soup pot over medium-high heat until very hot. Add the oil, tilting the pan to coat the bottom. Add the meat and bones, and season with salt and pepper. Cook and stir until thoroughly browned.
                            Add 1 onion, and cook until onion is also lightly browned. Stir in the tomatoes and broth. The liquid should cover the bones by 1/2 inch. If not, add enough water to compensate. Reduce heat to low, and simmer for 1 hour with the lid on loosely. If meat is not tender, continue cooking for another 10 minutes or so.
                            Pour in the water, and return to a simmer. Add the carrot and 1/4 cup cilantro, and cook for 10 minutes, then stir in the potato, corn and chayote. Simmer until vegetables are tender. Push the cabbage wedges  into the soup, and cook for about 10 more minutes.
                            Ladle soup into large bowls, including meat vegetables and bones. Garnish with jalapenos, minced onion, and additional cilantro. Squeeze lime juice over all, and serve with radishes.
                            "
40,Quick and Easy Vegetable Soup,"In a large stock pot, combine broth, tomato juice, water, potatoes, carrots, celery, undrained chopped tomatoes, green beans, and corn.  Season with salt, pepper and Creole seasoning.  Bring to a boil and simmer for 30 minutes or until all vegetables are tender.
                            "
41,Barb's Fried Green Tomatoes with Zesty Sauce,"Place potato flakes, wheat crackers, flour, butter-flavored granules, salt, and pepper into a food processor. Pulse until the crackers are finely crushed, then transfer mixture to a bowl.
                            Melt the butter flavored shortening in a skillet over medium-high heat. Dip the tomato slices one at a time into the eggs, then the cracker mixture. Pan fry the tomatoes in the shortening until golden brown on both sides, 7 to 10 minutes.
                            Mix the ranch dressing, sour cream, and hot pepper sauce in a bowl. Serve the fried tomatoes with topped with the sauce.
                            "
42,Golden Potato Soup,"In a large stock pot add potatoes, celery, onion, chicken bouillon, water and parsley flakes.  Season with salt and pepper and simmer until vegetables become tender.
                            In a separate bowl mix flour and milk.  Once it is well blended, add to soup mixture and cook until soup becomes thick.
                            Stir in cheese, cooked ham or hamburger and simmer until cheese is melted.
                            "
43,Perfect Fried Green Tomatoes,"Season tomato slices with salt and pepper.
                            Combine flour, 1 teaspoon salt, and 1 teaspoon pepper in a shallow bowl. Pour buttermilk in a second shallow bowl. Mix cornmeal, parsley, paprika, 1 teaspoon salt, 1 teaspoon pepper, and cayenne pepper in a third shallow bowl.
                            Dredge each tomato slice in the flour mixture to coat, dip into the buttermilk, and finish by pressing each side of the tomato into the cornmeal mixture to coat. Lay coated tomato slices onto a baking sheet; rest to let tomatoes absorb flavor of coating, 10 to 15 minutes.
                            Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).
                            Gently drop tomato slices into the hot oil and cook until golden brown and floating, 2 to 3 minutes. Drain on a plate lined with paper towel.
                            Whisk ranch dressing, cajun seasoning, and hot pepper sauce together in a small bowl; serve with the fried tomato slices.
                            "
44,Eggy Veggie Bake,"Preheat oven to 350 degrees F (175 degrees C). Spray an 8x8 inch baking dish with cooking spray.
                            Heat the olive oil in a skillet over medium-high heat. Place zucchini, green onions, onion, tomatoes, mushrooms, and spinach in the skillet. Sprinkle with lemon juice, Worcestershire sauce, and hot sauce. Season with garlic powder, salt, and pepper. Cook until tender. Transfer to the prepared baking dish. Pour egg substitute over the vegetables in the dish. Top with cheese.
                            Bake 20 minutes in the preheated oven, or until egg substitute is set and cheese is melted. Cut with a spatula and enjoy!
                            "
45,Broccoli with Lemon Butter Sauce,"In a large skillet, combine the butter, water, lemon juice, cayenne pepper, salt and pepper. Bring to a simmer over medium heat. Add the broccoli to the pan, stir to coat, and cover with a lid. Cook for 10 to 15 minutes over medium-low heat, stirring once, until broccoli is tender but still bright green. Serve warm, or refrigerate and serve cold.
                            "
46,No Time to Cook Chicken,"Place chicken breasts in a slow cooker. In a medium bowl, mix the cream of chicken soup and cream of celery soup until smooth Pour over the chicken, making sure it is well coated.
                            Cover, and cook on Low heat for 7 to 8 hours. Stir in the sour cream about 1/2 hour before serving.
                            "
47,Cream of Fresh Asparagus Soup II,"In a large saucepan, combine asparagus, chopped onion, and 1/2 cup chicken broth. Cover, and bring to a boil over high heat. Reduce heat, and simmer uncovered until asparagus is tender, about 12 minutes. Process the mixture in a blender to puree the vegetables. Set aside.
                            In the same saucepan, melt the butter over medium-low heat. Stir in the flour, salt, and pepper. Cook, stirring constantly for 2 minutes. Whisk in the remaining chicken broth, and increase the heat to medium. Cook, stirring constantly until the mixture boils. Stir in the asparagus puree and the milk.
                            Put the sour cream in a small bowl, and stir in a ladleful of the hot soup. Add the sour cream mixture and the lemon juice to the soup. Stir while heating the soup to serving temperature, but don't allow it to boil. Serve immediately.
                            "
48,Asparagus and Mozzarella Stuffed Chicken Breasts,"Preheat an oven to 375 degrees F (190 degrees C). Grease an 8x8-inch baking dish.
                            Place each chicken breast between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound the chicken with the smooth side of a meat mallet to an even thickness of about 1/4 inch. Sprinkle each side with salt and pepper.
                            Place 4 spears of asparagus down the center of a chicken breast, and spread about 1/4 cup of mozzarella cheese over the asparagus. Repeat with the other chicken breast, and roll the chicken around the asparagus and cheese to make a tidy, compact roll. Place the rolls seam sides down in the prepared baking dish, and sprinkle each with about 2 tablespoons of bread crumbs.
                            Bake in the preheated oven until the juices run clear when pricked with a fork, about 25 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
                            "
49,Judy's Hearty Vegetable Minestrone Soup,"Heat olive oil in a large pot over medium heat. Cook and stir celery, carrots, onion, and garlic in the hot oil until the onion is translucent, 7 to 10 minutes.
                            Pour vegetable stock over the vegetable mixture; season with Italian seasoning, kosher salt, and black pepper. Stir tomatoes, potatoes, and kidney beans into the stock mixture; bring to a simmer and cook until the potatoes are tender, about 40 minutes. Add kale and continue cooking until the kale wilts, about 5 minutes.
                            "
50,Chorizo Breakfast Tacos with Potato Hash and Eggs,"Heat oil in a nonstick skillet over medium-high heat until shimmering. Add potatoes, onion, garlic powder, and onion powder to one side of the skillet and season with salt and pepper. Add chorizo sausage on the other side of the skillet and saute, breaking up with the back of a spoon, until browned, about 5 minutes. Turn over the potatoes after a couple of minutes so they get brown on both sides.
                            Combine eggs, milk, 1 tablespoon cilantro, salt, and pepper in a bowl. Reduce heat and pour egg mixture into the skillet. Stir eggs until they are very softly set, about 3 minutes. Remove from heat.
                            Spread out warmed tortillas and divide potato, chorizo, and egg mixture among them. Sprinkle with remaining 2 tablespoons cilantro. Top with Cheddar cheese and salsa.
                            "
51,Quick Creamed Curried Corn ,"Husk the ears of sweet corn and stand an ear upright in a skillet with the top pointing up. Use a sharp kitchen knife to slice off the kernels, working from top to bottom and rotating the ear after each cut. Use the back of the knife to scrape extra juices into skillet. Repeat with remaining ear of corn.
                            Drizzle olive oil over the kernels and sprinkle with salt; place over medium heat and cook until corn is hot, about 3 minutes. Add garlic; continue to cook and stir until fragrant, about 1 minute. Season corn with cayenne pepper, smoked paprika, and garam masala. Cook and stir until corn is tender, about 2 more minutes.
                            Reduce heat to low and stir Greek yogurt into corn mixture. Remove from heat, stir in chives, and season with more salt, if desired.
                            "
52,Lemon-Buttermilk Pound Cake with Aunt Evelyn's Lemon Glaze,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a fluted tube pan (such as Bundt(R)).
                            Beat white sugar and 1 1/2 cups butter together in a bowl with an electric mixer until light and fluffy, about 10 minutes. Add eggs one at a time, thoroughly beating each egg into the butter mixture before adding the next.
                            Sift flour, salt, and baking soda together in a bowl. Add 1/3 of the flour mixture to the butter mixture; mix well. Pour in 1/2 the buttermilk and beat until combined. Repeat adding the remaining flour mixture and buttermilk, beating well after each addition, and ending with the flour mixture. Stir lemon extract into batter. Pour batter into prepared tube pan.
                            Reduce oven temperature to 325 degrees F (165 degrees C).
                            Bake in the oven until a toothpick inserted into the center of the cake comes out clean, 60 to 75 minutes. Cool in the pan for 10 minutes before removing to a cake platter or plate.
                            Beat confectioner's sugar, lemon juice, 2 tablespoons butter, and lemon zest together in a bowl until glaze is smooth. Pour about half the glaze over the cake; let cool. Pour remaining glaze over the cake.
                            "
