ingredient,recipe
basil,"Zucchini Herb Casserole;Quick Creamy Zucchini Soup;Chicken Tortellini Soup With Zucchini and Tomatoes;Jamie's Minestrone;Summer Zucchini Stew;Pad Kee Mow (Drunkard's Noodles);Summer Squash Soup;Easy Minestrone;Zucchini and Pork Soup;Pesto Tuna Salad with Sun-Dried Tomatoes;Green Beans with Cherry Tomatoes;Spicy Basil Chicken;Mama's Hearty Minestrone;Broiled Tilapia Parmesan;Lena's Minestrone;Herb Watermelon Feta Salad;Turkey Carcass Soup;Chicken Parmesan;Homemade Sweet Italian Sausage (Mild or Hot);Italian Sausage Soup with Tortellini;Jersey Fresh Tomato Soup;Herbed Grilled Artichokes;New Orleans Barbeque Shrimp;World's Best Lasagna;Thai Chicken with Basil Stir Fry;Lamb Chops with Balsamic Reduction;Andrea's Pasta Fagioli;Oven Roasted Potatoes;Insalata Caprese II;Best Darn Minestrone Soup Around;Vegetable Beef Minestrone;Watermelon Basil Salad;Panang Curry with Chicken;Zucchini Soup I;Summer Corn Salad;Minestrone Soup II;Ken's Minestrone Soup;Vietnamese Fresh Spring Rolls;Fat Granny's Minestrone Soup;Spicy Thai Basil Chicken (Pad Krapow Gai);Tomato Basil Penne Pasta;Herb 'n Honey Cucumber Tomato Salad;Zucchini Gazpacho with Basil Cream;Fantastic Black Bean Chili;Best Italian Sausage Soup;Zucchini Tomato Soup II;Corrigan's Minestrone;Asparagus, Potato, and Onion Frittata;Garden Veggie Zucchini Soup;Slow Cooker Zucchini Soup;Insanely Easy Vegetarian Chili;Baked Salmon II;Zucchini Soup with Herbs;Grandma's Slow Cooker Vegetarian Chili;Thai Spicy Basil Chicken Fried Rice;Lentil Soup;Chicken Milano"
bay,Cape Malay Pickled Fish;The Best Bean and Ham Soup;The Best Vegetarian Chili in the World;Instant Pot Vegan Vegetable and Barley Soup;Ken's Minestrone Soup;Day-After-Thanksgiving Turkey Carcass Soup;Beaker's Vegetable Barley Soup;Slow Cooker Carnitas;Split Pea Soup with Rosemary
bean,"Cabbage Fat-Burning Soup;Green Risotto with Fava Beans;Quick and Easy Vegetable Soup;Jamie's Minestrone;Summer Zucchini Stew;White Bean Chicken Chili;Easy Mexican Casserole;Authentic Pad Thai;Easy Minestrone;Classic Minestrone Soup;Green Beans with Cherry Tomatoes;Sweet Potato Minestrone;Authentic Huevos Rancheros;Russian Green Bean and Potato Soup;Afghan Tomato Soup (Aush Goshti);Navy Bean Soup I;Buttery Garlic Green Beans;Refried Beans Without the Refry;Taco Salad I;Slow Cooker Vegetarian Minestrone;Lemon-Parsley Green Beans;Andrea's Pasta Fagioli;Picante Chicken Chili;The Best Bean and Ham Soup;The Best Vegetarian Chili in the World;Best Darn Minestrone Soup Around;Minestrone Soup I;Zucchini Gazpacho;Sukhothai Pad Thai;Minestrone Soup II;Bean Soup With Kale;Ken's Minestrone Soup;Fat Granny's Minestrone Soup;Kathy's Cabbage Soup;Chicken and Corn Chili;Prosciutto Fave Minestrone alla Riso ;Beaker's Vegetable Barley Soup;Yam Taeng (Spicy Cucumber Salad);Grandma's Slow Cooker Vegetarian Chili;Chef John's Minestrone Soup;Macho Minestrone;Vegetarian Chickpea Sandwich Filling;Mexican Bean Salad;Best White Chicken Chili;Baked Beans, Texas Ranger"
beef,"Easy Meatloaf;Caldo de Res (Mexican Beef Soup);Easy Mexican Casserole;Slow Cooker Beef Pot Roast;Addictive Asian Beef Slaw (Crack Slaw);Mama's Hearty Minestrone;Afghan Tomato Soup (Aush Goshti);Beef Barley Vegetable Soup;World's Best Lasagna;Foolproof Rib Roast;Beef, Green Chili and Tomato Stew;Taco Salad I;Chef John's Steak Diane;Zucchini Tomato Soup I;Vegetable Beef Minestrone;Easy Beef Stew for the Slow Cooker;Minestrone Soup II;Mama Kathy's Minestrone;Kathy's Cabbage Soup;Beef and Guinness Stew;Brown Sugar Meatloaf;The Most Easy and Delish Meatloaf EVER!;The Best Meatloaf;Mini Meatloaves;Chef John's Stuffed Peppers;Slow Cooker Beef Stew I;Easy Salsa Meatloaf;Sharon's Awesome Chicago Chili;Slow-Cooker Corned Beef and Cabbage  ;Sweet Russian Cabbage Soup;Baked Ziti I"
beef broth,"Cabbage Fat-Burning Soup;Rich and Simple French Onion Soup;Caldo de Res (Mexican Beef Soup);American French Onion Soup;Russian Green Bean and Potato Soup;Italian Sausage Soup with Tortellini;French Onion Soup Gratinee;Beef, Green Chili and Tomato Stew;Vegetable Beef Minestrone;Minestrone Soup II;Kathy's Cabbage Soup;Best Italian Sausage Soup;Chef John's Stuffed Peppers;Slow Cooker Beef Stew I;Cheesy Sausage and Vegetable Soup"
beer,"Spicy Fried Green Tomatoes;New Orleans Barbeque Shrimp;Beef, Green Chili and Tomato Stew;Beef and Guinness Stew;Slow Cooker Pulled Pork;Sharon's Awesome Chicago Chili;Slow-Cooker Corned Beef and Cabbage  "
beet,Roasted Beets and Sauteed Beet Greens;Roasted Beets 'n' Sweets
bell pepper,"Thai Red Chicken Curry;Pad Kee Mow (Drunkard's Noodles);Old Charleston Style Shrimp and Grits;Winter Green Salad;Thai Chicken Curry in Coconut Milk;Super Easy Egg Casserole;Zucchini and Pork Soup;Addictive Asian Beef Slaw (Crack Slaw);Air Fryer Breakfast Frittata;Thai Pineapple Chicken Curry;Chakchouka (Shakshouka);Zucchini and Potato Bake;Black Bean and Couscous Salad;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;Thai Noodle Salad;Mexican Egg Bake;Roasted Vegetables;Creamy, Cheesy Zucchini Soup;Crabmeat Quiche;Roasted Broccoli;Easy Pineapple Chicken;Saltfish Buljol;Pasta Salad;Browned Butter Vegetables with Almonds;Slow Cooker Thai Peanut Pork;Amazing Muffin Cups;Fat Granny's Minestrone Soup;Turkey Veggie Meatloaf Cups;Quinoa Black Bean Burgers;Black Bean and Corn Salad II;Green Tomato Relish;Sheet Pan Chicken Fajitas;Greek Salad I;Slow Cook Thai Chicken;Savory Bacon and Crab Bread Pudding Eggs Benedict;Sausage, Peppers, Onions, and Potato Bake;Insanely Easy Vegetarian Chili;Chinese Cold Pasta Salad;Antipasto Pasta Salad;Disney's Ratatouille;Mexican Bean Salad;Charleston Breakfast Casserole;Shanghai Noodle Salad;Israeli Tomato and Cucumber Salad;Baked Beans, Texas Ranger"
black bean,Spicy Black Bean Vegetable Soup;Baja-Style Fish Tacos;Black Bean Huevos Rancheros;Laura's Quick Slow Cooker Turkey Chili;Chicken Fiesta Salad;Black Bean and Couscous Salad;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;One Skillet Mexican Quinoa;Picante Chicken Chili;The Best Vegetarian Chili in the World;Zesty Quinoa Salad;Quinoa Black Bean Burgers;Black Bean and Corn Salad II;Fantastic Black Bean Chili;Homemade Black Bean Veggie Burgers;Quinoa and Black Beans;Grandma's Slow Cooker Vegetarian Chili;Vegan Black Bean Soup;Mexican Bean Salad;Six Can Chicken Tortilla Soup
black pepper,"Bacon Cheese Frittata;Russian Mushroom and Potato Soup;Eggs Benedict with Salmon;Winter Leek and Potato Soup;Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Low Carb Cauliflower Leek Soup;Bacon Cheese Muffins;Bacon and Potato Frittata with Greens;Chicken Tikka Masala;Quick Creamy Zucchini Soup;Creamy Asparagus and Cauliflower Soup;Bacon, Egg, and Cheese Breakfast Bombs;Chicken Tortellini Soup With Zucchini and Tomatoes;Hungarian Mushroom Soup;Smooth Cauliflower Soup;Caldo de Res (Mexican Beef Soup);Barb's Fried Green Tomatoes with Zesty Sauce;Golden Potato Soup;Perfect Fried Green Tomatoes;Eggy Veggie Bake;Cream of Fresh Asparagus Soup II;Asparagus and Mozzarella Stuffed Chicken Breasts;Judy's Hearty Vegetable Minestrone Soup;Chorizo Breakfast Tacos with Potato Hash and Eggs;Brilliant Sauteed Broccoli;Cheesiest Potato Soup;Spicy Black Bean Vegetable Soup;Chicken Makhani (Indian Butter Chicken);Pad Kee Mow (Drunkard's Noodles);Chef John's Fried Green Tomatoes ;Cheesy Grilled Broccoli;Roasted Garlic Lemon Broccoli;White Bean Chicken Chili;Winter Green Salad;Hash Brown Casserole II;Summer Squash Soup;Cream of Cauliflower Soup II;Lentil Salad with a Persian Twist;Buffalo Chicken Skillet;Honey Roasted Red Potatoes;Broccoli with Garlic Butter and Cashews;Spicy Fried Green Tomatoes;Delicious Ham and Potato Soup;Baked Denver Omelet;Easy Broccoli Quiche;Chicken and Artichoke Minestrone;Super Easy Egg Casserole;Creamy Cottage Cheese Scrambled Eggs;Laura's Quick Slow Cooker Turkey Chili;Kentucky Style Fried Green Tomatoes;Smoked Salmon Quiche;Roasted Cauliflower Soup;Classic Minestrone Soup;Holiday Chicken Salad;All-American Loaded Baked Potato Salad;Pan Seared Salmon I;Jacob's Roasted Broccoli;Butternut Squash Soup II;Bodacious Broccoli Salad;Slow Cooker Chicken Pot Pie Stew;Classic Macaroni Salad;Irish Chicken and Dumplings;American French Onion Soup;Spicy Basil Chicken;Addictive Asian Beef Slaw (Crack Slaw);Green Tomato Casserole;Yellow Dhal - Sweet Potato Soup;Mama's Hearty Minestrone;Cape Malay Pickled Fish;Garlic Roasted Broccoli with Parmesan Cheese;Sausage-Stuffed Eggplant;Broccoli Souffle;Zucchini and Potato Bake;Split Pea Soup;Cream of Cauliflower and Stilton Soup;Basic Chicken Salad;Broiled Tilapia Parmesan;Mexican Zucchini Cheese Soup;Pumpkin Soup;Broccoli and Rice Stir Fry;Thai Red Curry Paste;Herb Watermelon Feta Salad;Turkey Carcass Soup;Roasted Cauliflower, Garlic, and Leek Soup;Chicken Parmesan;Homemade Sweet Italian Sausage (Mild or Hot);Afghan Tomato Soup (Aush Goshti);Croissant and Salmon Breakfast Casserole;Jersey Fresh Tomato Soup;Navy Bean Soup I;French Onion Soup Gratinee;Authentic German Potato Salad;Beef Barley Vegetable Soup;Thai Noodle Salad;Karen's Fried Green Tomatoes;Refried Beans Without the Refry;World's Best Lasagna;Foolproof Rib Roast;Eggplant Caponata (Sicilian Version);Best Fried Green Tomatoes;Old Fashioned Potato Salad;Momma's Shrimp and Cheese Grits;Roasted Vegetables;Beef, Green Chili and Tomato Stew;Spicy Garlic Lime Chicken;Creamy, Cheesy Zucchini Soup;One Skillet Mexican Quinoa;Chef John's Steak Diane;Slow Cooker Vegetarian Minestrone;Insalata Caprese II;Herb, Sausage, and Cheese Dutch Baby;The Best Bean and Ham Soup;Authentic Chicken Tikka Masala;Bacon and Egg Breakfast Salad with Avocado Dressing;The Best Vegetarian Chili in the World;Scrambled Egg Muffins;Fried Cabbage with Bacon, Onion, and Garlic;Roasted Apples and Brussels Sprouts;Eggs n' Fries;Best Darn Minestrone Soup Around;Zucchini Fenchel Suppe (Zucchini and Fennel Soup);Make-Ahead Breakfast Bars;Bird's Nest Breakfast Cups;Easy Lemon and Garlic Broccoli;Cindy's Coleslaw;Chef John's Quiche Lorraine;Mulligatawny Soup I;Garlic Mashed Cauliflower;New Wife Tuna Salad;Simple Roasted Butternut Squash;Sarah's Fried Green Tomatoes;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Mango-Bacon-Butternut Squash Hash;Aussie Breakfast Egg Mess;Zucchini Gazpacho;Fresh Tomato Zucchini Soup;Copycat Panera Broccoli Cheddar Soup;Keto Instant Pot Soup (Low Carb);Hash Brown and Egg Casserole;Zesty Quinoa Salad;Creamy Pesto Shrimp;Lemon-Garlic Shrimp and Grits;Chinese Chicken Fried Rice II;Mama Kathy's Minestrone;Instant Pot Vegan Vegetable and Barley Soup;Butternut and Acorn Squash Soup;Frugal Fried Green Tomatoes;Fat Granny's Minestrone Soup;Crustless Spinach Quiche;Kathy's Cabbage Soup;Baked Potato Soup I;Curried Cream of Cauliflower Soup;Simple Turkey Chili;Smoked Salmon Scramble;Beef and Guinness Stew;Indian Fish Curry;Filet Mignon with Rich Balsamic Glaze;Healing Cabbage Soup;Brown Sugar Meatloaf;Absolutely The Best Shrimp Scampi;Sheet Pan Chicken Fajitas;Pan Fried Brussels Sprouts;The Most Easy and Delish Meatloaf EVER!;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Fried Green Tomatoes with Shrimp Remoulade;Crispy Fish;The Best Meatloaf;Oven Baked Sweet Potato Fries;Zucchini Gazpacho with Basil Cream;Cauliflower and White Cheddar Cheese Soup;Greek Salad I;Roasted Beets 'n' Sweets;Chicken and Corn Chili;Day-After-Thanksgiving Turkey Carcass Soup;Asparagus, Potato, and Onion Frittata;Chef John's Stuffed Peppers;Oven-Roasted Asparagus;Quinoa and Black Beans;Parmalet (Crisp Parmesan Omelet);Garden Veggie Zucchini Soup;Fried Green Tomatoes II;Slow Cooker Beef Stew I;Beaker's Vegetable Barley Soup;Easy Roasted Broccoli;Baked Broccoli;Marinated Cucumber, Onion, and Tomato Salad;Roasted Sage Broccoli;Chef John's Shrimp and Grits ;Roasted Cauliflower and Leek Soup;Mini Spinach and Crab Quiche;Chicken Cordon Bleu I;Baked Butternut Squash;Roasted Garlic Cauliflower;Cream Corn Like No Other;Chef John's Chicken Tikka Masala;Mediterranean Zucchini 'Pasta' Salad;Roasted Yam and Kale Salad;Baked Potato Soup V;Caesar Salad Supreme;Sharon's Awesome Chicago Chili;Grandma Jeanette's Amazing German Red Cabbage;Baked Salmon II;Smoked Salmon Dill Eggs Benedict;Roasted Carrot and Cauliflower Curried Soup;Salmon and Swiss Chard Quiche;Chef John's Minestrone Soup;Antipasto Pasta Salad;Macho Minestrone;Easy Southern Fried Green Tomatoes;Hearty Corn and Pumpkin Soup;Sweet Russian Cabbage Soup;Jill's Hash Brown Casserole;Disney's Ratatouille;Vegan Black Bean Soup;Mexican Bean Salad;Nichole's Chicken Cauliflower Soup;Roquefort Pear Salad;Easy Sausage Gravy and Biscuits;Paleo Baked Eggs in Avocado;Garlic Shrimp and Cheesy Grits;Shrimp and Grits Louisiana Style;Chicken Pot Pie IX;Pan-Fried Asparagus;Northern Fried Green Tomatoes;Israeli Tomato and Cucumber Salad"
black sesame seed,Thai Noodle Salad
brandy,Fire and Ice Smoked Salmon;Chef John's Steak Diane;Absolutely The Best Shrimp Scampi
bread,Easy Meatloaf;Rich and Simple French Onion Soup;Asparagus and Mozzarella Stuffed Chicken Breasts;Chef John's Fried Green Tomatoes ;Fluffy French Toast;Buffalo Chicken Skillet;Baked Dijon Salmon;Super Easy Egg Casserole;Overnight Blueberry French Toast;Provincial Tomatoes;American French Onion Soup;Sausage-Stuffed Eggplant;Zucchini and Potato Bake;Chicken Parmesan;French Onion Soup Gratinee;Simple Broccoli Soup with Cheddar Croutons ;Best Fried Green Tomatoes;French Toast I;Old Fashioned Onion Rings;Smoked Salmon Pizette;Easy Mac and Cheese Muffins;Gluten Free Fried Green Tomatoes;French Toast Casserole;Pumpkin French Toast Bake;Sarah's Fried Green Tomatoes;Sean's Falafel and Cucumber Sauce;Three Cheese Breakfast Bake;Perfect Breakfast;Smoked Salmon Scramble;Pesto Chicken Penne Casserole;Quinoa Black Bean Burgers;Thai Chicken Balls;The Best Meatloaf;Baked Shrimp Scampi;Homemade Black Bean Veggie Burgers;Cream of Cauliflower Soup With Bacon Gremolata;Fried Green Tomatoes II;Savory Bacon and Crab Bread Pudding Eggs Benedict;Baked French Toast;Chicken Cordon Bleu I;Cinnamon Rolls III;Easy Salsa Meatloaf;Caesar Salad Supreme;Salmon and Swiss Chard Quiche;Apple Stuffed Chicken Breast;Campbell's Tuna Noodle Casserole;Northern Fried Green Tomatoes
broccoli,Fresh Broccoli Salad;Broccoli with Lemon Butter Sauce;Brilliant Sauteed Broccoli;Cheesy Grilled Broccoli;Roasted Garlic Lemon Broccoli;Stir-Fried Kale and Broccoli Florets;Broccoli with Garlic Butter and Cashews;Broccoli in Roast Chicken Drippings;Easy Broccoli Quiche;Jacob's Roasted Broccoli;Sesame Broccoli;Bodacious Broccoli Salad;Mama's Hearty Minestrone;Garlic Roasted Broccoli with Parmesan Cheese;Easy Quiche;Broccoli Souffle;Broccoli and Rice Stir Fry;Broccoli Rice Casserole;Simple Broccoli Soup with Cheddar Croutons ;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Broccoli With Lemon Almond Butter;Spicy Grilled Broccoli;Awesome Broccoli Marinara;Fried Broccoli;Broccoli Rabe with Roasted Peppers;Broccoli with Poppy Seed Butter and Parmesan Cheese;Easy Lemon and Garlic Broccoli;Kecia's Broccoli Salad;Copycat Panera Broccoli Cheddar Soup;Quick and Simple Broccoli and Cheese;Browned Butter Vegetables with Almonds;Broccoli and Brussels Sprout Delight;Maria's Broccoli Rabe;Broccoli Cheese Bake;Easy Roasted Broccoli;Baked Broccoli;Roasted Sage Broccoli;Rach's Broccoli Casserole;Broccoli and Tortellini Salad;Broccoli Cheese Soup;Alyson's Broccoli Salad;Broccoli Cauliflower Casserole
brown rice,Prosciutto Fave Minestrone alla Riso 
brussels sprout,"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Quick Brussels and Bacon;Roasted Apples and Brussels Sprouts;Pan Fried Brussels Sprouts;Broccoli and Brussels Sprout Delight"
buckwheat,Savory French Crepes ;Best Buckwheat Pancakes
